path,source_title,display_title,title,module,display_tier,frontend_eligible,quality_score,status,tags,sources,hidden_reasons,frontend_hidden_reasons,frontend_quality_warnings
wiki/concepts/07-技能库-原子技能-beautiful-mermaid-ascii.md,beautiful-mermaid-ascii 技能,beautiful-mermaid-ascii 技能,beautiful-mermaid-ascii 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-browser-use.md,browser-use 技能,browser-use 技能,browser-use 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-bulk-summarize.md,bulk-summarize 技能,bulk-summarize 技能,bulk-summarize 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-camelcamelcamel-alerts.md,camelcamelcamel-alerts 技能,camelcamelcamel-alerts 技能,camelcamelcamel-alerts 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-castella-a2a.md,castella-a2a 技能,castella-a2a 技能,castella-a2a 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-ccsinfo.md,ccsinfo 技能,ccsinfo 技能,ccsinfo 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-code-runner.md,code-runner 技能,code-runner 技能,code-runner 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-commit.md,commit 技能,commit 技能,commit 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-competitors-analysis.md,competitors-analysis 技能,competitors-analysis 技能,competitors-analysis 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-composewebview-development.md,composewebview-development 技能,composewebview-development 技能,composewebview-development 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-composewebview-documentation.md,composewebview-documentation 技能,composewebview-documentation 技能,composewebview-documentation 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-data-pipeline-engineer.md,data-pipeline-engineer 技能,data-pipeline-engineer 技能,data-pipeline-engineer 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-debug-tauri.md,debug-tauri 技能,debug-tauri 技能,debug-tauri 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-differentiation-schemes.md,differentiation-schemes 技能,differentiation-schemes 技能,differentiation-schemes 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-doc.md,doc 技能,doc 技能,doc 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/07-技能库-原子技能-document-converter-suite.md,document-converter-suite 技能,document-converter-suite 技能,document-converter-suite 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-figlet-text-converter.md,figlet-text-converter 技能,figlet-text-converter 技能,figlet-text-converter 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-flyio-cli-public.md,openclaw-version-monitor 技能,openclaw-version-monitor 技能,openclaw-version-monitor 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-frontend-skill.md,frontend-skill 技能,frontend-skill 技能,frontend-skill 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-gcode-to-text.md,gcode-to-text 技能 (Letta),gcode-to-text 技能 (Letta),gcode-to-text 技能 (Letta),library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-generating-memes.md,generating-memes 技能,generating-memes 技能,generating-memes 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-gh-address-comments.md,gh-address-comments 技能,gh-address-comments 技能,gh-address-comments 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-gh-fix-ci.md,gh-fix-ci 技能,gh-fix-ci 技能,gh-fix-ci 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/07-技能库-原子技能-git-changes-reporter.md,git-changes-reporter 技能,git-changes-reporter 技能,git-changes-reporter 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-gitnexus-explorer.md,gitnexus-explorer 技能,gitnexus-explorer 技能,gitnexus-explorer 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-home-assistant-awtrix.md,home-assistant-awtrix 技能,home-assistant-awtrix 技能,home-assistant-awtrix 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-hooks-development.md,hooks-development 技能,hooks-development 技能,hooks-development 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-invoice-generator.md,invoice-generator 技能,invoice-generator 技能,invoice-generator 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-ios-simulator.md,ios-simulator 技能,ios-simulator 技能,ios-simulator 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-issue-create.md,issue-create 技能,issue-create 技能,issue-create 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-jira.md,jira 技能,jira 技能,jira 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-linear-solvers.md,linear-solvers 技能,linear-solvers 技能,linear-solvers 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-link-validator.md,link-validator 技能,link-validator 技能,link-validator 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-markdown-tools.md,markdown-tools 技能,markdown-tools 技能,markdown-tools 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-mcaf-skill-curation.md,mcaf-skill-curation 技能,mcaf-skill-curation 技能,mcaf-skill-curation 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-mermaid-tools.md,mermaid-tools 技能,mermaid-tools 技能,mermaid-tools 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-mesh-generation.md,mesh-generation 技能,mesh-generation 技能,mesh-generation 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-ms-agent-framework-rag.md,ms-agent-framework-rag 技能,ms-agent-framework-rag 技能,ms-agent-framework-rag 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-n8n.md,n8n 技能,n8n 技能,n8n 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-numerical-stability.md,numerical-stability 技能,numerical-stability 技能,numerical-stability 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-omni-talos.md,omni-talos 技能,omni-talos 技能,omni-talos 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-omnifocus-2.md,omnifocus-2 技能,omnifocus-2 技能,omnifocus-2 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-parameter-optimization.md,parameter-optimization 技能,parameter-optimization 技能,parameter-optimization 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-pdf.md,pdf 技能,pdf 技能,pdf 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/07-技能库-原子技能-plugin-validator.md,plugin-validator 技能,plugin-validator 技能,plugin-validator 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-prometheus-api.md,prometheus-api 技能,prometheus-api 技能,prometheus-api 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-scientific-papers-to-dataset.md,scientific-papers-to-dataset 技能,scientific-papers-to-dataset 技能,scientific-papers-to-dataset 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-scrape-webpage.md,scrape-webpage 技能,scrape-webpage 技能,scrape-webpage 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-screenshot.md,screenshot 技能,screenshot 技能,screenshot 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low,
wiki/concepts/07-技能库-原子技能-searxng-web-search.md,searxng-web-search 技能,searxng-web-search 技能,searxng-web-search 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-sec-filing-watcher.md,sec-filing-watcher 技能,sec-filing-watcher 技能,sec-filing-watcher 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-security-best-practices.md,security-best-practices 技能,security-best-practices 技能,security-best-practices 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-security-threat-model.md,security-threat-model 技能,security-threat-model 技能,security-threat-model 技能,library,hidden,no,30,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-site-reliability-engineer.md,site-reliability-engineer 技能,site-reliability-engineer 技能,site-reliability-engineer 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-strudel.md,strudel 技能,strudel 技能,strudel 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|summary:missing-or-title-only|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-swissweather.md,swissweather 技能,swissweather 技能,swissweather 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-technical-writer.md,technical-writer 技能,technical-writer 技能,technical-writer 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-time-stepping.md,time-stepping 技能,time-stepping 技能,time-stepping 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
wiki/concepts/07-技能库-原子技能-transcript-fixer.md,transcript-fixer 技能,transcript-fixer 技能,transcript-fixer 技能,library,hidden,no,20,public,llm-wiki|migrated,[[wiki/sources/pre-rebuild-vault-archive]],path-pattern:07-技能库-原子技能-|source:archive-only|status:migrated-needs-source-review|tag:migrated,displayTier:hidden|hiddenReasons:not-empty|qualityScore:too-low|summary:not-chinese-reader-ready,
